District,State,Growth,Sex_Ratio,Literacy,,Cities,Growth,Sex_Ratio,Literacy,Total_Population,popu.dens.,,Cities,Sex_Ratio,Literacy,popu.dens.
Valsad,Gujarat,20.92,922,78.55,,,,,,,,,,,,
Bharuch,Gujarat,13.16,925,81.51,,,,,,,,,,,,
Amreli,Gujarat,8.63,964,74.25,,,,,,,,,,,,
Gandhinagar,Gujarat,4.29,923,84.16,,,,,,,,,,,,
Patan,Gujarat,13.61,935,72.3,,,,,,,,,,,,
Navsari,Gujarat,8.15,961,83.88,,,,,,,,,,,,
Tapi,Gujarat,12.14,1007,68.26,,,,,,,,,,,,
Narmada,Gujarat,14.75,961,72.31,,,,,,,,,,,,
Porbandar,Gujarat,9.06,950,75.78,,,,,,,,,,,,
The Dangs,Gujarat,22.26,1006,75.16,,,,,,,,,,,,
Faridabad,Haryana,32.54,873,81.7,,,,,,,,,,,,
Hisar,Haryana,13.45,872,72.89,,,,,,,,,,,,
Bhiwani,Haryana,14.7,886,75.21,,,,,,,,,,,,
Gurgaon,Haryana,73.96,854,84.7,,,,,,,,,,,,
Karnal,Haryana,18.14,887,74.73,,,,,,,,,,,,
Sonipat,Haryana,13.35,856,79.12,,,,,,,,,,,,
Jind,Haryana,12.13,871,71.44,,,,,,,,,,,,
Sirsa,Haryana,15.99,897,68.82,,,,,,,,,,,,
Yamunanagar,Haryana,16.57,877,77.99,,,,,,,,,,,,
Panipat,Haryana,24.6,864,75.94,,,,,,,,,,,,
Ambala,Haryana,11.23,885,81.75,,,,,,,,,,,,
Mewat,Haryana,37.93,907,54.08,,,,,,,,,,,,
Kaithal,Haryana,13.55,881,69.15,,,,,,,,,,,,
Rohtak,Haryana,12.88,867,80.22,,,,,,,,,,,,
Palwal,Haryana,25.76,880,69.32,,,,,,,,,,,,
Kurukshetra,Haryana,16.86,888,76.31,,,,,,,,,,,,
Jhajjar,Haryana,8.9,862,80.65,,,,,,,,,,,,
Fatehabad,Haryana,16.85,902,67.92,,,,,,,,,,,,
Mahendragarh,Haryana,13.48,895,77.72,,,,,,,,,,,,
Rewari,Haryana,17.64,898,80.99,,,,,,,,,,,,
Panchkula,Haryana,19.83,873,81.88,,,,,,,,,,,,
Kangra,Himachal Pradesh,12.77,1012,85.67,,,,,,,,,,,,
Mandi,Himachal Pradesh,10.92,1007,81.53,,,,,,,,,,,,
Shimla,Himachal Pradesh,12.67,915,83.64,,,,,,,,,,,,
Solan,Himachal Pradesh,15.93,880,83.68,,,,,,,,,,,,
Sirmaur,Himachal Pradesh,15.54,918,78.8,,,,,,,,,,,,
Una,Himachal Pradesh,16.26,976,86.53,,,,,,,,,,,,
Chamba,Himachal Pradesh,12.63,986,72.17,,,,,,,,,,,,
Hamirpur,Himachal Pradesh,10.19,1095,88.15,,,,,,,,,,,,
Kullu,Himachal Pradesh,14.76,942,79.4,,,,,,,,,,,,
Bilaspur,Himachal Pradesh,12.05,981,84.59,,,,,,,,,,,,
Kinnaur,Himachal Pradesh,7.39,819,80,,,,,,,,,,,,
Lahul and Spiti,Himachal Pradesh,-5,903,76.81,,,,,,,,,,,,
Jammu,Jammu and Kashmir,12.74,880,83.45,,,,,,,,,,,,
Srinagar,Jammu and Kashmir,20.35,900,69.41,,,,,,,,,,,,
Anantnag,Jammu and Kashmir,38.58,927,62.69,,,,,,,,,,,,
Baramula,Jammu and Kashmir,19.45,885,64.63,,,,,,,,,,,,
Kupwara,Jammu and Kashmir,33.82,835,64.51,,,,,,,,,,,,
Badgam,Jammu and Kashmir,24.14,894,56.08,,,,,,,,,,,,
Rajouri,Jammu and Kashmir,32.93,860,68.17,,,,,,,,,,,,
Kathua,Jammu and Kashmir,20.53,890,73.09,,,,,,,,,,,,
Pulwama,Jammu and Kashmir,27,912,63.48,,,,,,,,,,,,
Udhampur,Jammu and Kashmir,20.78,870,68.49,,,,,,,,,,,,
Punch,Jammu and Kashmir,27.97,893,66.74,,,,,,,,,,,,
Kulgam,Jammu and Kashmir,7.73,951,59.23,,,,,,,,,,,,
Doda,Jammu and Kashmir,28,919,64.68,,,,,,,,,,,,
Bandipora,Jammu and Kashmir,28.65,889,56.28,,,,,,,,,,,,
Samba,Jammu and Kashmir,17.01,886,81.41,,,,,,,,,,,,
Reasi,Jammu and Kashmir,27.04,890,58.15,,,,,,,,,,,,
Ganderbal,Jammu and Kashmir,36.5,874,58.04,,,,,,,,,,,,
Ramban,Jammu and Kashmir,31.99,902,54.27,,,,,,,,,,,,
Shupiyan,Jammu and Kashmir,25.97,951,60.76,,,,,,,,,,,,
Kishtwar,Jammu and Kashmir,20.88,920,56.2,,,,,,,,,,,,
Kargil,Jammu and Kashmir,18.02,810,71.34,,,,,,,,,,,,
Leh,Jammu and Kashmir,13.87,690,77.2,,,,,,,,,,,,
Ranchi,Jharkhand,23.98,949,76.06,,,,,,,,,,,,
Dhanbad,Jharkhand,11.99,909,74.52,,,,,,,,,,,,
Giridih,Jharkhand,28.41,944,63.14,,,,,,,,,,,,
Purbi Singhbhum,Jharkhand,15.68,949,75.49,,,,,,,,,,,,
Bokaro,Jharkhand,16.01,922,72.01,,,,,,,,,,,,
Palamu,Jharkhand,26.17,928,63.63,,,,,,,,,,,,
Hazaribagh,Jharkhand,20.65,947,69.75,,,,,,,,,,,,
Pashchimi Singhbhum,Jharkhand,21.75,1005,58.63,,,,,,,,,,,,
Deoghar,Jharkhand,28.03,925,64.85,,,,,,,,,,,,
Garhwa,Jharkhand,27.75,935,60.33,,,,,,,,,,,,
Dumka,Jharkhand,19.42,977,61.02,,,,,,,,,,,,
Godda,Jharkhand,25.35,938,56.4,,,,,,,,,,,,
